======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,BD,BD_7die_p2,1,LIMIT_FILE,2025-12-04 18:42:18,2025-12-04 19:28:04,wat,7,2223,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\jianxiongjiao_workspace\T20250909_01_BD55\ALG4\bd_7die_p.tple,BD,798,CLEAN_COUNT,BD,TEMPERATURE,2025-12-04 18:40:25,2025-12-04 19:28:04,bd_7die_p.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-1 2),Site_2_Value(3 1),Site_3_Value(-3 1),Site_4_Value(-3 -1),Site_5_Value(2 -1),Site_6_Value(1 -2),Site_7_Value(-1 -2),
PCM030,Coffset_NLVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_acc_NLVT_9_0p054_153_Coffset,Cgg_acc_NLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.55661428571429e-12,1.52875610811377e-15,1.55891e-12,1.55421e-12,4.69999999999997e-15,1.55891e-12,1.55752e-12,1.55592e-12,1.55571e-12,1.5565e-12,1.55421e-12,1.55753e-12,
PCM030,Coffset_NLVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg0_NLVT_9_0p054_153_Coffset,Cgg0_NLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.55728285714286e-12,1.00791392300657e-15,1.55865e-12,1.5555e-12,3.15000000000004e-15,1.55705e-12,1.55723e-12,1.5555e-12,1.55705e-12,1.55865e-12,1.55825e-12,1.55725e-12,
PCM030,Coffset_NLVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_inv_NLVT_9_0p054_153_Coffset,Cgc_inv_NLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.53902e-12,1.5173771229768e-15,1.54235e-12,1.53797e-12,4.38000000000003e-15,1.53919e-12,1.53797e-12,1.53823e-12,1.54235e-12,1.5384e-12,1.53835e-12,1.53865e-12,
PCM030,Coffset_NLVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_acc_NLVT_9_0p054_153_Coffset,Cgc_acc_NLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.53950428571429e-12,1.81399060217025e-15,1.54188e-12,1.53662e-12,5.26000000000012e-15,1.54188e-12,1.53662e-12,1.53971e-12,1.5402e-12,1.53919e-12,1.53786e-12,1.54107e-12,
PCM030,Coffset_NLVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc0_NLVT_9_0p054_153_Coffset,Cgc0_NLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.53943142857143e-12,1.62303654273332e-15,1.54133e-12,1.53617e-12,5.16000000000015e-15,1.53921e-12,1.53942e-12,1.54035e-12,1.54133e-12,1.53617e-12,1.54024e-12,1.5393e-12,
PCM031,Coffset_PLVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_inv_PLVT_9_0p054_153_Coffset,Cgg_inv_PLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.57688428571429e-12,1.57711611433503e-15,1.57935e-12,1.5754e-12,3.95e-15,1.5766e-12,1.57881e-12,1.57572e-12,1.57569e-12,1.57935e-12,1.5754e-12,1.57662e-12,
PCM031,Coffset_PLVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg_acc_PLVT_9_0p054_153_Coffset,Cgg_acc_PLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.57792857142857e-12,2.084717635328e-15,1.58073e-12,1.57466e-12,6.06999999999999e-15,1.57751e-12,1.57699e-12,1.57736e-12,1.57466e-12,1.58041e-12,1.57784e-12,1.58073e-12,
PCM031,Coffset_PLVT_9_0p054_153_Cgg_inv_Cgg0_Cgg_acc,Cgg0_PLVT_9_0p054_153_Coffset,Cgg0_PLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.57760428571429e-12,2.59583549262311e-15,1.58181e-12,1.57436e-12,7.44999999999993e-15,1.57861e-12,1.57798e-12,1.57436e-12,1.57439e-12,1.57762e-12,1.57846e-12,1.58181e-12,
PCM031,Coffset_PLVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_inv_PLVT_9_0p054_153_Coffset,Cgc_inv_PLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.51553142857143e-12,2.32761271529025e-15,1.51861e-12,1.51226e-12,6.34999999999987e-15,1.51641e-12,1.51861e-12,1.51731e-12,1.51638e-12,1.51283e-12,1.51492e-12,1.51226e-12,
PCM031,Coffset_PLVT_9_0p054_153_Cgc_inv_Cgc_acc_Cgc0,Cgc_acc_PLVT_9_0p054_153_Coffset,Cgc_acc_PLVT_9_0p054_153_Coffset,,-1e+32,1e+32,-1e+32,1e+32,1.51625142857143e-12,2.17711145459164e-15,1.51943e-12,1.51363e-12,5.79999999999983e-15,1.51509e-12,1.51817e-12,1.51943e-12,1.51441e-12,1.51363e-12,1.51531e-12,1.51772e-12,
