======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,PXW,PXW_SRAM_HALFMAP,25,LIMIT_FILE,2026-01-26 11:05:49,2026-01-26 17:12:16,wat,31,1321,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\GM_Workspace\PXW\testplan\SRAM_HALFMAP.tple,PXW,13144,CLEAN_COUNT,PXW,TEMPERATURE,2026-01-26 11:03:53,2026-01-26 17:12:16,SRAM_HALFMAP.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-2 -3),Site_2_Value(0 -3),Site_3_Value(2 -3),Site_4_Value(3 -2),Site_5_Value(1 -2),Site_6_Value(-1 -2),Site_7_Value(-3 -2),Site_8_Value(-4 -1),Site_9_Value(-2 -1),Site_10_Value(0 -1),Site_11_Value(2 -1),Site_12_Value(4 -1),Site_13_Value(5 0),Site_14_Value(3 0),Site_15_Value(1 0),Site_16_Value(0 0),Site_17_Value(-1 0),Site_18_Value(-3 0),Site_19_Value(-5 0),Site_20_Value(-4 1),Site_21_Value(-2 1),Site_22_Value(0 1),Site_23_Value(2 1),Site_24_Value(4 1),Site_25_Value(3 2),Site_26_Value(1 2),Site_27_Value(-1 2),Site_28_Value(-3 2),Site_29_Value(-2 3),Site_30_Value(0 3),Site_31_Value(2 3),
SRAM04_03,HD_S002_PG_L_ID7,R[9],R[9],,-1e+32,1e+32,-1e+32,1e+32,9.81403109390874,2.02757105890093,12.2452071694085,4.18703260623915e-08,12.2452071275382,4.18703260623915e-08,10.7236980323803,10.6853720611035,9.70607871075727,11.2870954435602,10.4581766047204,10.9414669147405,9.36155808605587,9.96236134475328,10.6496374587813,11.3124082359566,9.9039053189891,9.75009442691251,9.85543920832499,12.2452071694085,10.4642794663886,10.5412130794808,10.1749287111685,7.72580435005753,9.41439947908523,10.9235526684896,10.4368259778993,10.4164705869811,9.58554249829974,10.3668214600552,10.5047085776865,10.068231911171,9.83016397200036,7.85676899837834,9.49762373420469,9.58512938150989,
SRAM04_03,HD_S002_PG_L_R1,R[10],R[10],,-1e+32,1e+32,-1e+32,1e+32,3316.45457825206,687.624492096004,4637.68807024321,0,4637.68807024321,0,3242.62698651262,3252.85516074407,3463.03553631775,3215.08646407457,3277.57606148467,3066.03514576651,3586.70393808494,3490.16658124141,3279.21891090475,3187.0596764116,3332.21506772114,3833.91229399595,3518.53027084275,3170.23835906856,3228.40260457352,3491.30607929649,3558.8183011014,4637.68807024321,3489.83265251704,3146.47590996306,3298.71085078708,3192.40539517418,3342.28701418717,3173.11717009652,3285.96495378813,3309.97524432681,3468.79213639588,3977.53710563604,3572.91524734423,3720.60273721197,
SRAM04_03,HD_S002_PG_L_R2,R[11],R[11],,-1e+32,1e+32,-1e+32,1e+32,3209.60916633326,665.424449949134,4489.09931952498,0,4489.09931952498,0,3135.5121875779,3136.0107275236,3355.70705121946,3123.16892798285,3172.6899296666,2985.45912560024,3465.66333466609,3374.74817898996,3182.27560355344,3088.46472260925,3225.7860516271,3711.88396028162,3402.81157603029,3073.65869033219,3118.46870492821,3377.40643288445,3443.40659456087,4489.09931952498,3375.1203392934,3043.86984931109,3179.37636180995,3084.12190746706,3220.48774435745,3069.45291750578,3189.8353796864,3197.60778914459,3356.18077759941,3849.02555794024,3458.9867159184,3611.59769673809,
SRAM04_03,HD_S002_PG_L_R3,R[12],R[12],,-1e+32,1e+32,-1e+32,1e+32,3120.43144461869,647.146442527763,4365.97642467518,0,4365.97642467518,0,3047.26974248263,3038.67670676624,3247.98656546485,3049.42647365852,3087.75916778386,2903.53783768682,3366.66649983908,3287.18600495443,3100.54117337441,3003.45517635282,3136.69786452103,3608.84673669658,3308.38776303152,2993.32598208938,3030.52515206118,3281.74492290813,3347.2532799288,4365.97642467518,3284.54626702669,2957.50849187858,3079.9729724585,2996.69140774825,3120.49336861733,2986.70820841214,3105.8792758493,3103.4538771277,3266.30634599554,3743.16656391596,3366.3600401775,3517.02448969652,
SRAM04_03,HD_S002_PG_L_R4,R[13],R[13],,-1e+32,1e+32,-1e+32,1e+32,3045.11520905229,632.153951027587,4264.64530995499,0,4264.64530995499,0,2970.42529011502,2957.40994627372,3163.75190057469,2980.61001406411,3016.61670177301,2829.39162970767,3278.82318485154,3208.39991394133,3032.04354606128,2933.16851137099,3058.38609162212,3523.36770391219,3230.42365445779,2925.61749655141,2956.24432173544,3201.67182148154,3267.97000085644,4264.64530995499,3209.38990461715,2884.82997704646,2994.45031796761,2922.56369703306,3037.21402172725,2915.14370944814,3035.68698511545,3024.24003458427,3193.97161442242,3655.18166551684,3288.07092108158,3438.8615927553,
SRAM04_03,HD_S002_PG_L_R5,R[14],R[14],,-1e+32,1e+32,-1e+32,1e+32,2981.64733415406,619.473720764673,4182.79325311948,0,4182.79325311948,0,2906.55198571554,2889.5854313252,3097.79249912747,2922.93584849866,2954.62382580844,2772.11039863536,3206.4912667082,3142.56925398461,2973.61651302404,2874.54017266015,2993.72983790638,3451.95534057642,3162.41046742422,2869.09810398774,2891.32999356198,3133.92899006874,3199.03306192795,4182.79325311948,3145.83651506311,2825.55750188883,2923.04815419201,2862.30981135805,2969.7527573596,2851.66352414061,2977.19403942443,2954.65333312483,3129.81794173368,3577.63907994999,3219.68943787573,3368.80901860437,
SRAM04_03,HD_S002_PG_L_REXT_SLOPE,R[15],R[15],,-1e+32,1e+32,-1e+32,1e+32,6.45161290322581e+30,3.5921060405355e+31,2e+32,805.746128119432,2e+32,2e+32,929.069758456767,1005.02938786239,1023.34719657323,805.746128119432,890.401668841312,822.970005986992,1051.00634727125,956.62864428585,845.045305879238,866.156966610396,936.648418452028,1057.43486433151,982.310455440349,832.989724827511,928.583271273212,988.439154354438,993.572649611237,1260.31180222316,948.723829850589,889.199561385927,1038.96095983943,912.870532732885,1031.40726389539,884.580196299903,856.215761186557,980.777575601767,933.557322688438,1102.9261107451,973.842868576722,971.84238020023,
SRAM04_03,HD_S002_PG_L_REXT_SLOPE,R[16],R[16],,-1e+32,1e+32,-1e+32,1e+32,6.45161290322581e+30,3.5921060405355e+31,2e+32,1697.32754935007,2e+32,2e+32,1810.53709382651,1702.77384244629,1888.87677618968,1974.2209901594,1903.93577897648,1804.10982858213,1966.87999143423,2013.59701600735,1976.64276215797,1852.03832501815,1889.22675610086,2203.35483655682,2002.94430481428,1885.7105246467,1795.70851470427,1967.39785619795,2026.57601749299,2692.45809103663,2024.56304455662,1775.34826384576,1697.32754935007,1783.47220893513,1750.42529526113,1809.13176684131,1966.98737338238,1798.4799006474,2027.03619605244,2276.6691851594,2071.02804607079,2223.89407239379,
SRAM04_03,HD_S002_PG_L_REXT_SLOPE,R[17],R[17],,-1e+32,1e+32,-1e+32,1e+32,6.45161290322581e+30,3.5921060405355e+31,2e+32,0.999273095517745,2e+32,2e+32,0.999803104218433,0.999632902658666,0.999440654199446,0.999924204214586,0.999643128760392,0.999405272974263,0.99982923699652,0.999532045301736,0.999782778291774,0.999726775754008,0.999878466345298,0.999662887079113,0.999596969989945,0.999686021843256,0.99963142465795,0.999735204638812,0.999693539544284,0.99934842417154,0.999273095517745,0.999648870037628,0.999803753583133,0.999447301682719,0.999400489470525,0.999782877294407,0.999822360305322,0.999850434258845,0.999295659153978,0.99972299058955,0.999726116066568,0.999919706528939,
SRAM04_03,HD_S002_PG_L_RTOTALRE,R[18],R[18],,-1e+32,1e+32,-1e+32,1e+32,83834222002.7774,466769167305.881,2598860740125.55,4157.49225671175,2598860735968.06,2598860740125.55,4457.37177498188,4636.21840991646,4964.82813564528,4412.6152832446,4517.13221740274,4230.83858981829,5017.86894612282,4771.02807159568,4429.93342803393,4359.84990394929,4861.40170581012,4969.21074676849,4860.24813710795,4157.49225671175,4567.52139939081,4750.32764628237,4801.99482436823,6021.48663063343,4878.71754746718,4429.42494812387,4681.23572631054,4582.44877066354,4829.57894741601,4515.06412161549,4509.71883834682,4527.83223289806,4838.56576725939,5566.55078866037,4800.11631509445,5013.92878763065,
