======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,PXW,PXW_BEOL_HALFMAP,24,LIMIT_FILE,2026-01-15 14:13:43,2026-01-15 18:49:20,wat,31,4192,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\GM_Workspace\PXW\testplan\BEOL_HALFMAP.tple,PXW,8060,CLEAN_COUNT,PXW,TEMPERATURE,2026-01-15 14:12:06,2026-01-15 18:49:20,BEOL_HALFMAP.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-3 -3),Site_2_Value(-1 -3),Site_3_Value(1 -3),Site_4_Value(3 -3),Site_5_Value(4 -2),Site_6_Value(2 -2),Site_7_Value(0 -2),Site_8_Value(-2 -2),Site_9_Value(-4 -2),Site_10_Value(-3 -1),Site_11_Value(-1 -1),Site_12_Value(1 -1),Site_13_Value(3 -1),Site_14_Value(4 0),Site_15_Value(2 0),Site_16_Value(0 0),Site_17_Value(-2 0),Site_18_Value(-4 0),Site_19_Value(-3 1),Site_20_Value(-1 1),Site_21_Value(1 1),Site_22_Value(3 1),Site_23_Value(4 2),Site_24_Value(2 2),Site_25_Value(0 2),Site_26_Value(-2 2),Site_27_Value(-4 2),Site_28_Value(-3 3),Site_29_Value(-1 3),Site_30_Value(1 3),Site_31_Value(3 3),
HOL_B01_01,R533,R[533],R[533],,-1e+32,1e+32,-1e+32,1e+32,-723702931872.026,576641998953.614,-377848115849.343,-3722391077151.87,3344542961302.53,-819797692855.726,-743512717278.464,-626851391023.202,-488799647165.6,-598670939947.502,-396603126403.625,-647159999632.57,-501060623902.982,-617167683031.245,-716831277704.178,-589832195723.854,-607778614567.003,-617167683031.245,-626851391023.202,-471493447335.202,-757612401642.047,-1150241560956.18,-668828576889.193,-3722391077151.87,-377848115849.343,-716831277704.178,-549284190610.061,-520650502081.109,-716831277704.178,-836972497000.634,-743512717278.464,-465993864169.367,-581250643777.096,-534584197671.01,-527525357131.299,-494854199791.162,
HOL_B01_01,R532,R[532],R[532],,-1e+32,1e+32,-1e+32,1e+32,-641558311678.442,208537473029.727,-408777259055.913,-1258985470507.34,850208211451.43,-757612401642.047,-1258985470507.34,-465993864169.367,-460621098013.694,-598670939947.502,-757612401642.047,-513952531810.841,-426221663728.36,-772257184845.88,-636843828806.647,-460621098013.694,-460621098013.694,-854882326028.496,-589832195723.854,-549284190610.061,-564815483251.786,-704196010765.855,-691998460873.701,-772257184845.88,-482891458951.994,-482891458951.994,-408777259055.913,-607778614567.003,-598670939947.502,-1258985470507.34,-626851391023.202,-743512717278.464,-541834509624.065,-854882326028.496,-482891458951.994,-501060623902.982,
HOL_B01_01,R531,R[531],R[531],,-1e+32,1e+32,-1e+32,1e+32,-1163694926946.71,1121943077101.75,-513957159407.811,-6954745531658.92,6440788372251.11,-957178617413.96,-1087423297988.69,-1682759740116.88,-1058613873438.34,-513957159407.811,-626834324773.412,-716791064863.734,-1440159576299.37,-598660054625.412,-1184096318442.44,-668801358790.658,-854796502196.375,-743464642294.832,-1005344119844.92,-729884238803.636,-6954745531658.92,-1926104233060.59,-626834324773.412,-1184096318442.44,-1258695867400.24,-668801358790.658,-1258695867400.24,-787417273644.528,-803246219620.606,-772200128736.873,-819724619513.31,-1005344119844.92,-1184096318442.44,-934786065635.892,-1184096318442.44,-836893280639.922,
HOL_B01_01,R530,R[530],R[530],,-1e+32,1e+32,-1e+32,1e+32,-1329159427159.14,950389558825.922,-564811349746.502,-4569007554617.97,4004196204871.46,-873482456921.671,-4100170274530.9,-1005344119844.92,-1150017094553.11,-716791064863.734,-598660054625.412,-1031291563404.82,-4569007554617.97,-757559987490.63,-1682759740116.88,-564811349746.502,-1058613873438.34,-1087423297988.69,-617152798212.507,-1494006574026.14,-680186102807.71,-1494006574026.14,-1494006574026.14,-729884238803.636,-1258695867400.24,-757559987490.63,-581243324454.248,-934786065635.892,-1258695867400.24,-1440159576299.37,-1258695867400.24,-598660054625.412,-2906994430076.2,-2251727335130.24,-1220257008570.04,-1031291563404.82,
HOL_B01_02,R[2],R[2],R[2],,-1e+32,1e+32,-1e+32,1e+32,48.8385945634111,6.39741712856183,68.0059146968678,37.1042910147535,30.9016236821144,37.1042910147535,43.2673871781106,47.2513006952262,51.1042138015568,51.2478181933704,44.6292946384967,49.2624127064724,45.5139861972582,54.2926810801818,49.2532910573513,42.340228505326,41.8976718359028,46.4647406169671,52.6255092482687,43.4088497008379,37.7454283613528,41.9443704610747,46.8049713949409,54.5530839238408,50.7246978439287,49.2326761431447,48.7206732988901,52.1858356856413,51.1785726572292,45.9895767363419,49.5027038782989,63.4911879586143,68.0059146968678,50.3969577739779,50.0652861805912,53.7908180009286,
HOL_B01_02,R[1],R[1],R[1],,-1e+32,1e+32,-1e+32,1e+32,49.7906077242168,6.02109486347342,66.7760131049982,39.3267930669482,27.44922003805,44.8622608838077,49.3273398898553,49.4297495118832,49.8139557426501,50.4970710098403,49.9418446255228,47.5190964884318,49.1006396945226,55.5577536419435,49.2262342538448,41.5154976931515,42.8388471566441,46.5750420705265,54.0390285294971,44.2167151183663,39.3267930669482,41.2959144658399,49.57662369665,52.7589139484471,49.30685690048,48.7786804527051,45.8841899470931,57.3398883802688,51.0298582824197,47.4354547468605,50.3395545743292,62.4737267029532,66.7760131049982,45.3605213045495,51.3721157608918,59.9926578047977,
HOL_B01_02,R27,R[27],R[27],,-1e+32,1e+32,-1e+32,1e+32,21.4582981158525,0.739686459832586,23.1796407515968,20.3190512535666,2.86058949803018,21.9930784986653,22.3290629377459,21.7196809389666,20.9313529395514,20.9924643621415,21.536670122078,22.0818746212279,21.7787061286496,22.0002183717986,21.5976288581672,22.7034823809661,22.8624471027689,20.8750718093802,20.3190512535666,21.5894127482226,23.1796407515968,22.0171831795902,20.8741870836734,21.115473044806,21.7763103070933,21.810480484005,20.9312205682987,20.4175376899955,20.853417596623,21.8376380377717,20.9036603206347,21.439889782057,20.5183266437077,20.5681160642684,21.1492316534208,20.5047253099899,
HOL_B01_02,R25,R[25],R[25],,-1e+32,1e+32,-1e+32,1e+32,21.508710606122,0.719891257384587,22.9660665528044,20.4226058315657,2.5434607212387,22.1137597787113,22.4617717901444,21.7279163841912,20.9887865886087,21.0886555594594,21.6077981307199,22.1327662350267,21.8908714168697,21.9818975379917,21.6600213076316,22.6866014718804,22.9646582505506,20.9137291696455,20.4459599154528,21.6318002230516,22.9660665528044,22.0500016242229,20.9086676568037,21.1388069162457,21.8631778962397,21.8457212002336,21.0241354965776,20.4226058315657,20.9029961797818,21.8920526529293,21.0088403582651,21.4802445451969,20.5816232550569,20.6371874805769,21.2124574189995,20.5384499643468,
HOL_B01_02,R453,R[453],R[453],,-1e+32,1e+32,-1e+32,1e+32,332569416.223596,160411376.677509,701207074.758008,1189.01607050931,701205885.741938,528435727.147306,220317456.835814,312654689.324527,430469975.039004,321484860.802848,2297.86480462983,369899733.932423,292819252.822339,481912971.501511,308246482.927417,271402781.876366,1524.51732017474,319280006.815432,335178490.406023,385258992.64504,1189.01607050931,198495714.200271,388481409.893433,405845216.118874,148207700.656852,179105688.921063,438157522.936624,374133650.469674,290375474.852025,273983030.088725,405676217.119992,392323828.660836,507939936.867892,552162313.035023,476190690.877941,701207074.758008,
HOL_B01_02,R452,R[452],R[452],,-1e+32,1e+32,-1e+32,1e+32,-1414027591988.74,1125469722416.88,471488243.921991,-4569007554617.97,4569479042861.89,-1220257008570.04,-1837528989742.88,-1031291563404.82,-1150017094553.11,-1682759740116.88,471488243.921991,-980670314171.73,-2023651210187.55,-1184096318442.44,-803246219620.606,-636824448500.725,325802507.968297,-3135076253891.1,-873482456921.671,-1184096318442.44,332147872.185135,-819724619513.31,-520654070871.536,-1299635188536.74,-4100170274530.9,-534585471602.446,-1756742155272.1,-2131605750671.61,-3135076253891.1,-957178617413.96,-1087423297988.69,-2906994430076.2,-4569007554617.97,-636824448500.725,-680186102807.71,-957178617413.96,
HOL_B01_02,R451,R[451],R[451],,-1e+32,1e+32,-1e+32,1e+32,-777284165061.516,305582055465.179,-436927987712.412,-1705191085207.43,1268263097495.02,-639900917548.041,-988132458103.392,-1571064579135.23,-629812077361.717,-567212377755.599,-1127594362254.71,-436927987712.412,-964279854863.151,-879371041728.639,-1705191085207.43,-1039562053092.81,-747695673957.788,-536727991133.142,-515931729965.55,-792177884539.345,-792177884539.345,-695615588268.194,-522682411953.613,-733957987678.352,-661080359272.829,-1039562053092.81,-456918605891.357,-683709787039.154,-551549284070.613,-583791085644.449,-610559602229.397,-1160347933073.57,-761957433285.278,-456918605891.357,-522682411953.613,-720716008664.109,
HOL_B01_02,R569,R[569],R[569],,-1e+32,1e+32,-1e+32,1e+32,3292792857543.08,7567552384949.04,34054341185495.5,-5103675736466.74,39158016921962.2,167719985123.425,18382896214999.5,545916731413.969,480280454085.457,1723831316419.95,-2373947777705.41,-5103675736466.74,1652519108955.7,34054341185495.5,1281440712075.65,4887591373392.65,442996982473.564,411085049280.089,9572537076873.38,-2240781779349.7,383461818389.514,463560123454.082,264242756463.517,1281440712075.65,829227154676.578,4354768799478.11,18382896214999.5,663858587667.619,531392458165.803,2818480402920.47,406897696632.669,-317470662372.974,925262500575.632,4887591373392.65,1241611042109.72,1074606708139.96,
